-10000  "10000 BC"	1	10	" "	" "	" "	" "	4	1	10	" "	" "	" "	" "
-8000	"8000 BC"	5	" "	" "	" "	" "	5	" "	" "	" "	" "	" "	" "	" "
-6500	"6500 BC"	5	10	" "	" "	" "	" "	" "	" "	" "	5	10	" "	" "
-5000	"5000 BC"	5	20	" "	" "	" "	" "	5	5	20	" "	" "	" "	" "
-4000	"4000 BC"	7	" "	" "	" "	" "	" "	7	" "	" "	" "	" "	" "	" "
-3000	"3000 BC"	14	" "	" "	" "	" "	" "	14	" "	" "	" "	" "	" "	" "
-2000	"2000 BC"	27	" "	" "	" "	" "	" "	27	" "	" "	" "	" "	" "	" "
-1000	"1000 BC"	50	" "	" "	" "	" "	" "	50	" "	" "	" "	" "	" "	" "
-500	"500 BC"	100	" "	" "	" "	" "	" "	100	" "	" "	" "	" "	" "	" "
-400	"400 BC"	162	" "	162	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
-200	"200 BC"	150	231	231	" "	" "	" "	150	" "	" "	" "	" "	" "	" "
1	"1 AD"	170	400	255	270	330	300	170	200	" "	200	400	300	" "
200	"200 AD"	190	256	256	" "	" "	" "	190	" "	" "	" "	" "	" "	" "
400	"400 AD"	190	206	206	" "	" "	" "	190	" "	" "	" "	" "	" "	" "
500	"500 AD"	190	206	206	" "	" "	" "	190	" "	" "	" "	" "	" "	" "
600	"600 AD"	200	206	206	" "	" "	" "	200	" "	" "	" "	" "	" "	" "
700	"700 AD"	207	210	207	" "	" "	" "	210	" "	" "	" "	" "	" "	" "
800	"800 AD"	220	224	224	" "	" "	" "	220	" "	" "	" "	" "	" "	" "
900	"900 AD"	226	240	226	" "	" "	" "	240	" "	" "	" "	" "	" "	" "
1000	"1000 AD"	254	345	254	275	345	" "	265	" "	" "	" "	" "	310	" "
1100	"1100 AD"	301	320	301	" "	" "	" "	320	" "	" "	" "	" "	" "	" "
1200	"1200 AD"	360	450	400	" "	" "	450	360	" "	" "	" "	" "	" "	" "
1250	"1250 AD"	400	416	416	" "	" "	" "	" "	" "	" "	" "	" "	400	" "
1300	"1300 AD"	360	432	432	" "	" "	" "	360	400	" "	" "	" "	" "	" "
1340	"1340 AD"	443	" "	443	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
1400	"1400 AD"	350	374	374	" "	" "	" "	350	" "	" "	" "	" "	" "	" "
1500	"1500 AD"	425	540	460	440	540	" "	425	" "	" "	" "	" "	500	" "
1600	"1600 AD"	545	579	579	" "	" "	" "	545	" "	" "	" "	" "	" "	" "
1650	"1650 AD"	470	545	" "	" "	" "	500	545	500	" "	470	545	" "	" "
1700	"1700 AD"	600	679	679	" "	" "	" "	610	600	" "	" "	" "	" "	" "
1750	"1750 AD"	629	961	770	735	805	795	720	700	" "	629	961	790	" "
1800	"1800 AD"	813	1,13	954	" "	" "	" "	900	900	" "	813	1,13	980	" "
1850	"1850 AD"	1,13	1,4	1,24	" "	" "	1,27	1,2	1,2	" "	1,13	1,4	1,26	" "
1900	"1900 AD"	1,55	1,76	1,63	1,65	1,71	1,66	1,63	1,6	" "	1,55	1,76	1,65	" "
1910	"1910 AD"	1,75	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1,75	" "
1920	"1920 AD"	1,86	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1,86	" "
1930	"1930 AD"	2,07	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2,07	" "
1940	"1940 AD"	2,3	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2,3	" "
1950	"1950 AD"	2,4	2,56	2,53	" "	" "	2,52	2,5	2,4	" "	2,49	" "	2,52	2,56
